class,gazex,gazey,fps
3.0,252.9375,330.0,29.12306624079989
3.0,239.625,330.0,30.09819596136458
3.0,239.625,330.0,29.83804394994629
3.0,239.625,330.0,29.627277158134905
3.0,239.625,330.0,13.097785966336696
3.0,239.625,330.0,29.34126156881125
3.0,252.9375,330.0,29.59738060291295
3.0,239.625,330.0,17.87403849841685
3.0,239.625,330.0,29.165796299258044
3.0,226.3125,330.0,29.50327790439211
3.0,239.625,330.0,29.62895147674854
3.0,239.625,330.0,13.157981585180304
3.0,239.625,330.0,29.52924196875506
3.0,239.625,330.0,29.609081154345738
3.0,239.625,330.0,30.38844250595915
3.0,239.625,330.0,9.2522500264709
3.0,239.625,330.0,26.23128639061396
3.0,239.625,330.0,28.139304283653686
3.0,239.625,330.0,18.2057087297729
3.0,239.625,330.0,0.6650870013140621
3.0,239.625,330.0,25.732399982821768
3.0,252.9375,330.0,23.70828599368051
3.0,252.9375,337.5,17.356794067502026
3.0,252.9375,337.5,29.034965422236372
3.0,252.9375,330.0,23.309458708458376
3.0,239.625,330.0,28.98901068520797
3.0,239.625,330.0,13.007005411440002
3.0,239.625,330.0,29.49767566161009
3.0,239.625,330.0,29.09054591104237
3.0,239.625,330.0,17.66208653542478
3.0,239.625,330.0,29.012872923972967
3.0,239.625,330.0,28.834560466379305
3.0,239.625,330.0,28.834164014216675
3.0,239.625,330.0,13.118884006067905
3.0,239.625,330.0,29.51635808333509
3.0,239.625,330.0,28.648247693074783
3.0,239.625,330.0,17.718867494106814
3.0,239.625,330.0,28.73401383845996
3.0,239.625,330.0,18.896495796577792
3.0,239.625,330.0,27.52023515825941
3.0,239.625,330.0,12.272120547143588
3.0,239.625,330.0,27.323210016481333
3.0,239.625,330.0,27.48182753356353
3.0,239.625,330.0,27.61372554183236
3.0,239.625,330.0,12.80797371410424
3.0,239.625,330.0,27.43096321875164
3.0,239.625,330.0,26.83427167570888
3.0,239.625,330.0,17.969607259297977
3.0,266.25,337.5,27.91048530380564
3.0,266.25,337.5,28.68625908776921
3.0,266.25,345.0,27.539388845845757
3.0,279.5625,345.0,12.984737692636324
3.0,266.25,345.0,28.99722769539217
3.0,266.25,345.0,28.02480222364764
3.0,306.1875,360.0,28.674884290119024
3.0,292.875,345.0,10.685662022281836
3.0,292.875,345.0,27.548070986640745
3.0,279.5625,345.0,28.153659240564107
3.0,292.875,345.0,16.88290297260853
3.0,279.5625,337.5,27.34315981616089
3.0,266.25,337.5,29.02592351662953
3.0,266.25,337.5,28.43480265209551
3.0,266.25,337.5,12.619344046261556
3.0,266.25,337.5,28.904307077389568
3.0,266.25,337.5,29.044817461636477
3.0,266.25,337.5,12.88659755805308
3.0,266.25,337.5,29.275521742165143
3.0,266.25,337.5,28.43480265209551
3.0,279.5625,337.5,27.776847682119204
3.0,279.5625,337.5,12.712053754087778
3.0,319.5,360.0,29.01467922909836
3.0,319.5,360.0,28.957188718975456
1.0,665.625,142.5,19.519012672012213
1.0,665.625,135.0,12.652195422131593
1.0,665.625,135.0,29.105686092182143
1.0,665.625,135.0,28.93561361268825
3.0,-1.0,-1.0,13.019562072797482
1.0,678.9375,127.5,29.13783545332657
1.0,678.9375,127.5,28.73755755316817
3.0,-1.0,-1.0,28.978595807597177
1.0,678.9375,127.5,13.082139526469607
1.0,678.9375,127.5,28.94699646643109
1.0,678.9375,127.5,20.41431137112514
1.0,678.9375,127.5,27.707121152067643
1.0,678.9375,127.5,13.06461751229586
3.0,-1.0,-1.0,27.815531533921348
3.0,-1.0,-1.0,27.73588673680591
3.0,-1.0,-1.0,12.4709849104289
3.0,-1.0,-1.0,29.0325536966408
3.0,-1.0,-1.0,26.165013536949008
3.0,-1.0,-1.0,28.012261989835103
1.0,678.9375,127.5,12.936279408317604
3.0,-1.0,-1.0,29.267758952745137
3.0,-1.0,-1.0,28.731258220078917
1.0,678.9375,127.5,28.099150521210174
1.0,665.625,127.5,12.323900581479055
1.0,665.625,127.5,28.69175359989055
1.0,665.625,127.5,27.34155563088316
1.0,665.625,127.5,12.94027051041564
1.0,665.625,127.5,29.40420490314982
1.0,665.625,127.5,28.919054579552665
1.0,665.625,127.5,27.744693236315527
1.0,665.625,127.5,12.30885533594518
1.0,665.625,135.0,29.36447394214344
1.0,665.625,135.0,29.56671060701119
3.0,-1.0,-1.0,27.66545301039523
1.0,665.625,135.0,12.808677754093654
1.0,665.625,135.0,29.23124743008077
1.0,665.625,135.0,28.549576960514045
1.0,665.625,135.0,13.156330672354574
1.0,652.3125,142.5,29.71375135487436
1.0,652.3125,142.5,28.28809409796926
1.0,652.3125,142.5,29.87736494187372
3.0,-1.0,-1.0,14.185137461402922
3.0,-1.0,-1.0,30.870887492087792
3.0,-1.0,-1.0,31.302878551544502
3.0,-1.0,-1.0,31.04684076508557
1.0,652.3125,142.5,13.192497743221011
1.0,652.3125,150.0,29.612634938117328
1.0,652.3125,150.0,29.87055606198724
1.0,665.625,150.0,13.214568367989918
1.0,665.625,150.0,30.022576142586164
1.0,665.625,150.0,29.7645689630702
1.0,665.625,150.0,29.8306164831726
1.0,652.3125,142.5,13.196648533340046
1.0,665.625,150.0,29.48295398630696
1.0,665.625,150.0,30.11591705439715
1.0,665.625,150.0,25.172721325643227
1.0,652.3125,142.5,13.071579944650829
1.0,652.3125,135.0,29.21577286626777
1.0,665.625,135.0,29.446730835386877
1.0,665.625,135.0,12.96326722360788
1.0,652.3125,135.0,29.310914973759058
3.0,-1.0,-1.0,29.27061844878362
1.0,665.625,142.5,29.55879264536953
1.0,665.625,142.5,12.948340052975064
1.0,665.625,135.0,29.51365804917179
1.0,665.625,135.0,29.43681089237464
1.0,665.625,135.0,29.531113145110183
1.0,665.625,142.5,13.072313263976762
1.0,665.625,142.5,29.323620092984235
1.0,665.625,142.5,29.656395389945555
1.0,665.625,142.5,13.163886988343554
1.0,665.625,142.5,29.139657352471204
1.0,665.625,142.5,29.56004256788662
1.0,665.625,142.5,27.87894740340452
1.0,665.625,142.5,13.104046838729433
1.0,665.625,142.5,28.6435522532797
1.0,665.625,135.0,28.27512656819852
