class,gazex,gazey,fps
1.0,186.375,232.5,26.78098521852952
1.0,186.375,232.5,28.97359131822358
1.0,186.375,232.5,28.493138773402897
1.0,292.875,375.0,12.93049668128975
1.0,292.875,390.0,27.916615638561275
1.0,279.5625,375.0,26.962092528429
1.0,266.25,382.5,29.63020733990322
1.0,266.25,390.0,17.162198435300663
1.0,266.25,390.0,26.318687800409123
1.0,266.25,382.5,21.786328693122798
1.0,266.25,382.5,18.278144079208268
1.0,159.75,225.0,27.4164395202144
1.0,159.75,225.0,27.31200104187016
1.0,159.75,225.0,29.679059169839093
1.0,279.5625,367.5,16.052232951000992
1.0,159.75,225.0,5.057997544745684
1.0,279.5625,352.5,28.535592067217745
1.0,186.375,225.0,29.639629708147837
1.0,186.375,217.5,12.712862884404382
1.0,186.375,225.0,20.309727528484338
1.0,186.375,225.0,28.183738744792368
1.0,186.375,225.0,14.193730034111214
1.0,292.875,390.0,26.56539528520578
1.0,279.5625,307.5,20.458023607452933
1.0,186.375,225.0,22.181873952201897
1.0,173.0625,217.5,12.459056519143198
1.0,173.0625,225.0,29.025320923151448
1.0,173.0625,225.0,23.0655235560346
1.0,173.0625,225.0,14.586498902788064
1.0,173.0625,225.0,23.61936940741867
1.0,159.75,217.5,22.97342418333589
1.0,159.75,217.5,26.73574706782254
1.0,173.0625,225.0,10.015554743671483
1.0,159.75,217.5,27.305244518514662
1.0,159.75,217.5,19.280167321703555
1.0,159.75,217.5,28.8472526943472
1.0,159.75,217.5,8.069616076496109
1.0,159.75,217.5,29.77471107703666
1.0,159.75,217.5,28.26578968649756
1.0,159.75,217.5,16.151942020502315
1.0,159.75,217.5,23.584837971423596
1.0,159.75,210.0,22.842304759830085
1.0,159.75,210.0,28.01525565240624
1.0,159.75,210.0,1.3073111860822904
1.0,159.75,217.5,31.32228096902351
1.0,173.0625,210.0,30.009902406914517
1.0,173.0625,210.0,30.04106890895938
1.0,159.75,210.0,16.922205456350007
3.0,-1.0,-1.0,25.171814891944283
1.0,159.75,217.5,29.149783164683644
3.0,-1.0,-1.0,21.162938781276647
3.0,-1.0,-1.0,29.7540116056354
1.0,173.0625,217.5,28.421315118989536
3.0,-1.0,-1.0,29.228599303135887
1.0,159.75,217.5,16.669000846504492
3.0,-1.0,-1.0,28.279129977480817
1.0,173.0625,210.0,27.98497434563008
1.0,173.0625,210.0,28.92842905323852
1.0,173.0625,210.0,16.546752826630687
1.0,173.0625,210.0,27.66563549176489
3.0,-1.0,-1.0,26.961399268482392
1.0,173.0625,217.5,19.46936141966569
1.0,173.0625,217.5,28.4652930477509
1.0,173.0625,217.5,19.08054280528248
1.0,173.0625,217.5,27.08099173553719
1.0,173.0625,217.5,14.669142823168151
1.0,173.0625,217.5,6.989667906517885
1.0,173.0625,217.5,19.10070176557113
1.0,173.0625,217.5,20.75401789248674
1.0,173.0625,217.5,26.59925801439579
1.0,173.0625,217.5,23.013382348906752
1.0,173.0625,217.5,26.70629660051065
1.0,173.0625,217.5,14.56881651707561
1.0,173.0625,225.0,20.946175128095007
1.0,173.0625,225.0,28.19908699130692
1.0,292.875,397.5,27.471567612884638
1.0,279.5625,397.5,15.944407697161845
1.0,279.5625,397.5,16.81238751468071
1.0,279.5625,397.5,24.63875182104422
1.0,279.5625,397.5,20.9478489307083
1.0,292.875,397.5,26.72586626565905
1.0,306.1875,397.5,21.685851963683746
1.0,173.0625,217.5,28.73047099761624
1.0,173.0625,217.5,13.052989303797665
1.0,173.0625,217.5,16.057272146059287
1.0,173.0625,217.5,28.40995698851898
1.0,173.0625,217.5,23.852957233848954
1.0,173.0625,217.5,12.841933804843697
1.0,173.0625,217.5,21.49315896815717
1.0,173.0625,217.5,27.45592249533597
1.0,173.0625,217.5,21.02987791120359
1.0,173.0625,217.5,27.399246150730654
1.0,173.0625,217.5,16.27465466397641
1.0,173.0625,217.5,20.178795999172507
1.0,159.75,217.5,17.048491598312346
1.0,159.75,217.5,29.566502185253068
1.0,159.75,217.5,24.02607505169757
1.0,159.75,217.5,16.865456066138034
1.0,159.75,217.5,26.995237237082616
1.0,159.75,217.5,26.867618986612005
1.0,159.75,217.5,23.79422943826089
1.0,159.75,217.5,11.192630584568418
1.0,159.75,217.5,20.479300023924964
1.0,159.75,217.5,22.37976682762853
1.0,159.75,217.5,27.084314320584262
3.0,-1.0,-1.0,16.13969793169793
1.0,159.75,217.5,27.4180525049681
1.0,159.75,217.5,27.23467916834409
3.0,-1.0,-1.0,17.096231683208675
1.0,159.75,217.5,28.879628737072583
3.0,-1.0,-1.0,20.62765695850177
1.0,159.75,217.5,25.086000346896174
1.0,159.75,217.5,16.194911753008814
1.0,159.75,217.5,26.94079107948049
3.0,-1.0,-1.0,27.55621546689092
3.0,-1.0,-1.0,27.61881683611653
1.0,159.75,217.5,16.62124226260769
3.0,-1.0,-1.0,28.25112989593507
3.0,-1.0,-1.0,21.19491439775231
3.0,-1.0,-1.0,15.879875968757451
3.0,-1.0,-1.0,29.1246840541066
3.0,-1.0,-1.0,21.7026834038766
3.0,-1.0,-1.0,27.411960002614208
3.0,-1.0,-1.0,17.17442612747627
3.0,-1.0,-1.0,20.16463224088114
3.0,-1.0,-1.0,27.561104467019756
3.0,-1.0,-1.0,28.437694503393427
3.0,-1.0,-1.0,16.359716046493485
3.0,-1.0,-1.0,14.869411080701656
3.0,-1.0,-1.0,28.30145545576616
1.0,159.75,210.0,14.852666841363485
1.0,159.75,210.0,22.01075793594568
1.0,159.75,210.0,20.21877500650772
3.0,-1.0,-1.0,23.813953488372093
1.0,159.75,210.0,16.865523883051658
1.0,159.75,210.0,28.341232355584385
1.0,159.75,210.0,25.05962132482539
1.0,159.75,217.5,23.222474448270894
1.0,173.0625,217.5,17.36980424150312
1.0,173.0625,217.5,29.199298265155523
1.0,173.0625,217.5,28.16197670124551
1.0,159.75,217.5,4.436844081727641
2.0,252.9375,457.5,28.573499557190544
2.0,252.9375,457.5,21.920571126940903
2.0,266.25,457.5,28.299736859861007
2.0,266.25,457.5,15.609965239268462
2.0,266.25,457.5,29.31071014269941
1.0,159.75,217.5,24.338085705167263
2.0,266.25,457.5,22.027750643348565
2.0,266.25,457.5,16.526085603174167
1.0,159.75,217.5,27.581584675377623
1.0,146.4375,217.5,27.87598279975808
1.0,159.75,217.5,17.351839517460213
1.0,159.75,217.5,29.216179881722752
1.0,159.75,217.5,19.97163985086637
1.0,159.75,217.5,27.94842509978477
3.0,-1.0,-1.0,16.481537222233136
3.0,-1.0,-1.0,1.158336170968411
3.0,-1.0,-1.0,29.9481906720361
3.0,-1.0,-1.0,25.28410303399302
3.0,-1.0,-1.0,21.92653001479437
3.0,-1.0,-1.0,30.26346207961441
3.0,-1.0,-1.0,21.65472662501936
3.0,-1.0,-1.0,16.893647015228957
3.0,-1.0,-1.0,29.36077393702661
3.0,-1.0,-1.0,14.429829118344234
2.0,252.9375,457.5,18.77940057131088
2.0,266.25,457.5,13.402644545704373
2.0,252.9375,457.5,21.02566107727398
2.0,266.25,457.5,23.699310656571363
2.0,266.25,457.5,26.599089329426835
2.0,252.9375,450.0,16.40418483681092
2.0,266.25,450.0,26.872438846247487
1.0,159.75,217.5,24.59584000375303
1.0,173.0625,217.5,17.118001167237363
1.0,173.0625,217.5,28.62654417887222
1.0,173.0625,217.5,27.28765768637733
1.0,173.0625,217.5,27.548613802208195
1.0,173.0625,217.5,16.83107544141252
1.0,186.375,217.5,28.04804065801792
1.0,186.375,225.0,27.387795879721832
1.0,199.6875,217.5,19.67346479296047
1.0,199.6875,217.5,16.72530066673047
1.0,199.6875,217.5,26.710548437221387
1.0,199.6875,217.5,29.20214439880248
1.0,199.6875,217.5,20.638720629843768
1.0,199.6875,217.5,27.56364018716156
1.0,199.6875,225.0,19.31470463629833
1.0,186.375,225.0,26.905018185550347
1.0,186.375,225.0,14.598277152254497
1.0,252.9375,382.5,14.641235443603565
1.0,279.5625,397.5,26.041549217071687
1.0,279.5625,397.5,20.63618204182042
1.0,279.5625,397.5,17.04599728519292
1.0,279.5625,397.5,26.793131643499592
1.0,279.5625,397.5,27.906956938308404
1.0,279.5625,397.5,15.847296633543658
1.0,279.5625,397.5,24.017545165631173
1.0,319.5,412.5,20.73185970184665
1.0,319.5,412.5,28.50030237757106
1.0,319.5,412.5,14.130561778825909
2.0,319.5,457.5,29.09660009295808
2.0,319.5,457.5,27.204825685098104
2.0,319.5,450.0,16.00451787690312
2.0,306.1875,450.0,26.553622527792548
2.0,292.875,450.0,29.250613702298597
2.0,292.875,450.0,29.64821975132361
2.0,279.5625,450.0,14.014742146098277
2.0,279.5625,450.0,26.016189158846043
2.0,279.5625,457.5,27.476426620199017
2.0,279.5625,450.0,26.55059693367263
2.0,279.5625,450.0,11.08147224416574
2.0,252.9375,450.0,17.142838458646
2.0,252.9375,450.0,26.68505770527682
2.0,252.9375,450.0,13.797960392131062
1.0,173.0625,217.5,29.19056003674654
3.0,-1.0,-1.0,28.890370574459293
1.0,173.0625,217.5,28.121946804159656
3.0,-1.0,-1.0,13.88594092447046
1.0,173.0625,217.5,29.696500258427204
3.0,-1.0,-1.0,19.978774685859637
1.0,173.0625,217.5,21.430234162242808
1.0,173.0625,217.5,14.486595516872171
1.0,159.75,217.5,4.850818646425932
1.0,173.0625,217.5,23.804762877704373
1.0,173.0625,217.5,17.278571016618194
1.0,159.75,217.5,28.528604757143537
1.0,173.0625,217.5,28.970989666795603
3.0,-1.0,-1.0,19.432018346498644
3.0,-1.0,-1.0,17.168872315255612
3.0,-1.0,-1.0,28.523560494263737
3.0,-1.0,-1.0,28.868696184845376
1.0,173.0625,217.5,27.78291944597164
1.0,159.75,217.5,17.640544234853742
1.0,173.0625,217.5,23.922340728911195
1.0,159.75,217.5,27.21930262893188
