class,gazex,gazey,fps
3.0,648.375,472.5,22.286181868417977
3.0,648.375,459.375,22.63410843510029
3.0,631.75,459.375,10.80059741463666
3.0,631.75,459.375,21.328777015001272
3.0,615.125,472.5,22.85512513827057
3.0,615.125,472.5,11.563571599897442
3.0,631.75,459.375,21.28677716988601
3.0,615.125,472.5,21.253770066482893
3.0,615.125,472.5,21.12084436969373
1.0,615.125,485.625,7.74126771143443
3.0,615.125,472.5,21.425308023947203
1.0,598.5,485.625,22.16593120286646
3.0,615.125,472.5,22.242571763420678
3.0,615.125,472.5,7.874645629081132
3.0,598.5,472.5,23.40728173761636
3.0,598.5,472.5,22.64694067082785
3.0,598.5,472.5,11.573846217525077
3.0,598.5,472.5,23.052466116320225
3.0,598.5,472.5,22.797360611364155
3.0,598.5,472.5,22.7851000374835
3.0,598.5,472.5,7.834607251996802
3.0,598.5,472.5,23.197301034234837
3.0,581.875,472.5,22.83720550361808
3.0,581.875,472.5,22.49378703778189
3.0,581.875,472.5,7.8495334413798
3.0,581.875,472.5,23.147756309431173
3.0,581.875,472.5,22.900547629577456
3.0,581.875,472.5,11.402925831980795
3.0,581.875,472.5,22.94803418429317
3.0,581.875,472.5,23.03689260664913
3.0,581.875,472.5,23.125039283252928
3.0,581.875,472.5,7.785785752339372
3.0,581.875,472.5,23.244481636860392
3.0,581.875,472.5,22.35745887570495
3.0,581.875,472.5,22.482332761578043
3.0,581.875,472.5,7.862275808289844
3.0,581.875,472.5,23.07123290685266
3.0,581.875,472.5,22.25555419954261
3.0,581.875,472.5,11.42140118508191
3.0,581.875,472.5,22.801822273928217
3.0,581.875,472.5,22.66162391130514
3.0,581.875,472.5,22.25815250558536
3.0,581.875,472.5,7.802253076774261
3.0,581.875,472.5,23.24744485090345
3.0,581.875,472.5,23.227104076908592
3.0,565.25,472.5,11.390291525791952
3.0,565.25,472.5,19.883683666600295
3.0,565.25,472.5,23.30427825313924
3.0,565.25,472.5,19.380837742300677
3.0,565.25,472.5,7.591294353999439
3.0,565.25,472.5,23.74909545946129
3.0,565.25,472.5,22.848028587926397
3.0,565.25,472.5,22.484502149649945
3.0,565.25,472.5,7.840846465892733
3.0,565.25,472.5,23.45794486608017
3.0,565.25,472.5,21.172125892834607
3.0,565.25,472.5,11.04284386592632
1.0,565.25,485.625,23.145457053775903
1.0,548.625,485.625,23.52913721530349
3.0,565.25,472.5,21.633728427155223
1.0,548.625,485.625,7.7370979315738895
1.0,548.625,485.625,23.01919224626665
1.0,548.625,485.625,21.9526957359168
1.0,548.625,485.625,21.81079956735169
1.0,548.625,485.625,7.752542867863289
1.0,548.625,485.625,21.79640494514917
1.0,548.625,485.625,22.37523005766779
1.0,548.625,485.625,11.23424132851212
1.0,548.625,485.625,21.9230917995599
1.0,548.625,485.625,22.591439143806657
1.0,548.625,485.625,22.734217558389748
1.0,548.625,485.625,7.797799893285343
1.0,548.625,485.625,23.110640923917835
1.0,548.625,485.625,22.69288910290052
1.0,548.625,485.625,22.51080912818531
1.0,548.625,485.625,7.815716016025342
1.0,532.0,485.625,22.803557836591786
1.0,532.0,485.625,22.58316776774513
1.0,515.375,485.625,11.391559884191484
1.0,532.0,485.625,0.2488640393615753
1.0,515.375,485.625,23.373236964262823
1.0,515.375,485.625,22.81993471164309
1.0,515.375,485.625,11.703151027788088
1.0,515.375,485.625,22.652689339317444
3.0,515.375,472.5,22.226188331302
3.0,515.375,472.5,22.35710135657365
3.0,515.375,472.5,7.8731379144642
3.0,515.375,472.5,22.51370907139023
3.0,515.375,472.5,22.496923926860795
3.0,515.375,472.5,11.495495594260891
3.0,515.375,472.5,22.417684849650986
1.0,498.75,485.625,22.20641895826936
