yaw,pitch,class,fps,hleft,htop,hright,hbottom
-0.11535189313958312,-0.3671274089117833,3.0,22.742969927665897,482.29095458984375,165.93116760253906,611.2869262695312,331.7564392089844
-0.11975489736981111,-0.3207500564247074,3.0,21.913127070206787,483.0213623046875,166.60289001464844,610.774658203125,332.4253845214844
-0.09579177388127813,-0.34466684091027305,3.0,22.452365785374365,483.1319580078125,165.7808837890625,611.0457153320312,330.8204040527344
-0.10177909264399428,-0.32226379718830844,3.0,21.74374925478364,483.19683837890625,165.7229766845703,611.2807006835938,330.594482421875
-0.11563978085342068,-0.32334344269422655,3.0,21.400274499599476,483.3233642578125,165.7861328125,611.1251220703125,330.74334716796875
-0.13638633837735595,-0.3180557363498743,3.0,22.637895486782025,483.13775634765625,165.92657470703125,611.1281127929688,330.8683776855469
-0.11719879535555307,-0.32815630741621776,3.0,21.951317035897276,483.23773193359375,166.42678833007812,611.2415771484375,330.9564208984375
-0.11860068335337079,-0.34757021913067737,3.0,22.577575858709285,483.3489685058594,166.46859741210938,611.6964111328125,331.4103088378906
-0.12254296071501507,-0.3325260221328198,3.0,22.41205482379973,483.56658935546875,166.78350830078125,612.04150390625,332.0547790527344
-0.13797597923202426,-0.3557176278535569,3.0,21.707625583537766,483.7491760253906,167.6586456298828,612.7158203125,333.71441650390625
-0.11878470778469524,-0.33804888560142615,3.0,22.663093282614334,484.20562744140625,168.10191345214844,613.6322021484375,334.73980712890625
-0.10491310061479953,-0.3581725297463919,3.0,21.562660333030017,484.4588623046875,168.84506225585938,614.6359252929688,335.095947265625
-0.10873873152069835,-0.36036857238127123,1.0,21.86537659521228,484.8150329589844,168.64224243164062,614.6022338867188,336.93743896484375
-0.10566997099660005,-0.3722462708430246,1.0,22.714149553764837,485.366943359375,170.70925903320312,615.5252685546875,336.6397399902344
-0.10007706639132465,-0.3972072807920103,1.0,21.632166360654384,485.5745849609375,171.18753051757812,616.2958984375,336.8091125488281
-0.09445060595631423,-0.39361307858483935,1.0,22.20465554573224,486.3257751464844,172.85504150390625,616.8614501953125,336.4118347167969
-0.11679878855982317,-0.38773867785234256,1.0,22.700381018358158,486.98583984375,172.67987060546875,617.13525390625,337.5068359375
-0.09435659636983444,-0.4094607512835739,1.0,21.63361684349517,487.8747863769531,174.0440216064453,616.201416015625,338.19085693359375
-0.1053088463527853,-0.3932602097404038,1.0,22.246346909657948,487.9193115234375,173.60684204101562,616.515625,339.9443664550781
-0.09536859758406453,-0.39567596316521475,1.0,22.634597015730822,488.5489807128906,174.03634643554688,617.0074462890625,339.7548522949219
-0.07646361595391905,-0.3847815037779186,1.0,21.279649322185243,488.2099609375,173.83154296875,617.8717041015625,340.15655517578125
