,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0.2859675746916185,-1.0292565007230063,1,18.409877583626315,582.0,79.0,690.2631225585938,209.03225708007807,559.0,600.0
1,1,0.2260405912104374,-1.0622918156229488,1,20.45522999492802,579.0,78.0,689.9784545898438,210.61672973632807,576.0,609.0
2,2,-0.0166740515849861,-0.993637919565687,1,20.495111141515476,577.0,78.0,688.7918090820312,213.291259765625,637.0,591.0
3,3,-0.1794906658847244,-0.9846404298228544,1,21.43888775301574,574.0,77.0,684.7860717773438,212.2117919921875,682.0,587.0
4,4,-0.067791564496294,-0.9252115906235728,1,21.46115628054053,573.0,75.0,684.2020874023438,211.9742584228516,650.0,568.0
5,5,-0.1055772929906652,-0.9469258077295882,1,21.22967282150956,573.0,75.0,684.1680297851562,212.06829833984372,661.0,575.0
6,6,-0.1181865618038634,-0.8583860878127049,1,21.61644668690377,571.0,75.0,680.0906982421875,210.3122711181641,666.0,545.0
7,7,-0.1549991712359197,-0.9789218240141272,1,21.652267283389776,568.0,74.0,676.3187866210938,211.27978515625,668.0,584.0
8,8,-0.1531951459135,-0.9938359255927344,1,21.451606963850985,567.0,75.0,675.6472778320312,212.3491668701172,665.0,589.0
9,9,-0.0218339261970146,-0.9325772284084592,1,21.82714404662781,563.0,75.0,672.4186401367188,211.41873168945312,624.0,570.0
10,10,-0.0124409570323051,-0.83032435940654,1,21.82600822188687,560.0,75.0,670.0689697265625,213.1226043701172,619.0,537.0
11,11,-0.0089370359860879,-0.8268044593937822,1,21.63718809163928,560.0,75.0,670.04150390625,213.1689453125,618.0,535.0
12,12,-0.107990383254386,-0.8649553072736034,1,21.81079956735169,558.0,75.0,667.846435546875,212.4549102783203,649.0,548.0
13,13,0.0122963473851138,-0.860136849913323,1,21.94396689285696,555.0,75.0,664.1524047851562,210.0233612060547,605.0,545.0
14,14,-0.1143372287642629,-0.8321472931726992,1,22.09284220617438,553.0,75.0,662.6610717773438,211.1330108642578,648.0,536.0
15,15,-0.1754485199822022,-0.8534328745012666,1,21.8973395146807,550.0,75.0,658.2611083984375,208.76803588867188,665.0,542.0
16,16,-0.1522784858662948,-0.8467147843354327,1,21.411526877329116,547.0,73.0,656.706787109375,209.3422393798828,654.0,540.0
17,17,-0.1525037892945155,-0.8551327702250641,1,21.768124516688204,547.0,73.0,656.8189697265625,209.37530517578125,654.0,542.0
18,18,-0.1508883157772734,-0.8530264761189205,1,21.72797961012656,545.0,72.0,655.7080688476562,209.7557678222656,653.0,541.0
19,19,-0.1665671440628969,-0.9927441627038563,1,21.703020299184,544.0,72.0,654.9616088867188,209.45713806152344,647.0,586.0
20,20,-0.1904820643356994,-1.1396627705602578,1,21.76620411213401,543.0,72.0,653.1773681640625,210.60369873046875,640.0,624.0
21,21,-0.262456655956181,-1.177680194069466,1,21.596523386814408,543.0,71.0,653.7186889648438,211.4385528564453,651.0,632.0
22,22,-0.279498490087707,-1.2031579904279814,1,21.8586534502796,541.0,71.0,652.6183471679688,210.88034057617188,649.0,636.0
23,23,-0.276203094554843,-1.1992455404705462,1,21.94522984837228,541.0,71.0,652.62255859375,210.84619140625,649.0,636.0
