,level_0,Unnamed: 0,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
1071,1071,1071,1071,-0.9111614185025873,-0.6209929735074776,0,18.330226073883725,446.0,282.0,547.4346313476562,425.1327819824219,907.0,725.0
1072,1072,1072,1072,-0.853619295777572,-0.5979057637014717,0,21.390015656315818,441.0,285.0,544.1998901367188,426.15081787109375,891.0,715.0
1073,1073,1073,1073,-0.8579408072784437,-0.4772347389166733,0,18.60447291147326,432.0,280.0,536.6597900390625,422.6921081542969,914.0,645.0
1074,1074,1074,1074,-0.8046261864678204,-0.4846039719690316,0,22.337693323676024,426.0,280.0,532.4307861328125,426.3398742675781,887.0,651.0
1075,1075,1075,1075,-0.7802979435938375,-0.3488618522593658,0,21.74995073687268,424.0,278.0,527.6917114257812,428.154296875,898.0,572.0
1076,1076,1076,1076,-0.7973991662176723,-0.3424361771812226,0,20.001926607692123,424.0,278.0,528.18994140625,428.2698974609375,907.0,568.0
1077,1077,1077,1077,-0.8294473804595769,-0.3913520548193621,0,20.60141556929757,420.0,279.0,522.5142822265625,425.3327331542969,907.0,596.0
1078,1078,1078,1078,-0.7713662339299299,-0.3856054858191891,0,20.38197147508322,419.0,280.0,519.0146484375,419.4364318847656,882.0,590.0
1079,1079,1079,1079,-0.8026708935954842,-0.4117968761917913,0,21.98825700385841,415.0,282.0,515.6485595703125,418.6443481445313,887.0,606.0
1080,1080,1080,1080,-0.8425527961838568,-0.3949217559445043,0,21.896882243615178,410.0,279.0,512.0507202148438,418.9402465820313,902.0,594.0
1081,1081,1081,1081,-0.8683897198153695,-0.3145092047262157,0,21.828507192372545,406.0,276.0,505.1804809570313,419.7758483886719,920.0,545.0
1082,1082,1082,1082,-0.8580646442691323,-0.3042797366631123,0,18.82474596962407,406.0,276.0,505.3577880859375,419.4813537597656,917.0,539.0
1083,1083,1083,1083,-0.8164950964979765,-0.2178764045726905,0,16.10802424093461,401.0,276.0,502.7673034667969,419.7313232421875,906.0,485.0
1084,1084,1084,1084,-0.7822508396211927,-0.3181540069940982,0,19.17431175884359,399.0,276.0,500.5164794921875,419.7418212890625,877.0,547.0
1085,1085,1085,1085,-0.7374407574356283,-0.2821813585698528,0,16.044618709714438,399.0,279.0,497.8045043945313,419.0202331542969,861.0,527.0
1086,1086,1086,1086,-0.6918618206433583,-0.2664825565760537,0,19.942677279167736,397.0,280.0,495.3875427246094,421.7300415039063,840.0,519.0
1087,1087,1087,1087,-0.7436102364169059,-0.3243178933370865,0,19.36053027575447,394.0,281.0,489.4118041992188,419.9427795410156,852.0,554.0
1088,1088,1088,1088,-0.7525507345124111,-0.3098532001924302,0,19.380658635874266,395.0,282.0,489.2478942871094,418.53515625,859.0,545.0
1089,1089,1089,1089,-0.7539084140361333,-0.3630405219029476,0,20.67789390652732,392.0,283.0,488.7989501953125,418.8356628417969,850.0,577.0
1090,1090,1090,1090,-0.7913327515705808,-0.3831764165889277,0,21.452484707133944,392.0,282.0,488.0657348632813,418.2900390625,862.0,589.0
1091,1091,1091,1091,-0.7699723354153822,-0.3356672206385682,0,21.33724029872006,394.0,282.0,488.6483459472656,417.6960754394531,862.0,560.0
1092,1092,1092,1092,-0.8184642378079812,-0.2924100276846292,0,21.52592007143993,395.0,283.0,488.04693603515625,416.7032775878906,888.0,533.0
1093,1093,1093,1093,-0.7977986403811842,-0.3084529100912665,0,22.21324012286834,395.0,282.0,488.5745849609375,416.9887390136719,878.0,543.0
1094,1094,1094,1094,-0.7975264653177783,-0.3517029125102623,0,22.04187337089044,394.0,283.0,488.8381652832031,417.3445434570313,871.0,570.0
