,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,-1.838928445350145,-0.7359176956082121,2,1.818041694028508,418.0,181.0,531.8423461914062,319.4677429199219,854.0,607.0
1,1,-1.5400043256391824,-0.7140811062501073,2,23.042587790621017,419.0,181.0,530.5057983398438,315.27880859375,876.0,596.0
2,2,-1.5975762757684062,-0.8465509999283927,2,20.53575135622099,418.0,179.0,531.1470947265625,316.5032958984375,826.0,645.0
3,3,-1.338958167049411,-0.7314086975665989,2,19.954726891256048,418.0,180.0,531.15283203125,317.190673828125,859.0,603.0
4,4,-1.2912383150568263,-0.757660275379837,2,20.162402776576005,418.0,179.0,531.43115234375,318.54852294921875,845.0,614.0
5,5,-1.1665634938892029,-0.6564537623702097,2,20.92172629142641,418.0,180.0,531.7125854492188,318.9974975585937,861.0,574.0
6,6,-1.120102384985844,-0.6841418492754365,2,19.820728503109464,417.0,179.0,531.8023681640625,321.2541198730469,845.0,586.0
7,7,-1.101522309008688,-0.663855752303976,2,19.878689068461338,417.0,180.0,531.6937866210938,320.799560546875,848.0,578.0
8,8,-1.2342827535619012,-0.6734748238452332,2,20.64298686405851,418.0,180.0,532.1172485351562,321.700439453125,868.0,582.0
9,9,-1.082056465652972,-0.7522758962879147,2,21.249570631716004,418.0,181.0,532.501220703125,322.1930847167969,818.0,615.0
10,10,-1.0238967558711674,-0.7798004651022107,2,21.882602140103195,418.0,181.0,532.9501342773438,323.33935546875,798.0,626.0
11,11,-1.0906036148554723,-0.6990693998175488,2,21.797537690792584,418.0,181.0,532.6092529296875,321.8622436523437,836.0,593.0
12,12,-0.912829356293304,-0.6210169419572884,2,21.63395159792857,419.0,183.0,532.2465209960938,321.5910949707031,817.0,562.0
13,13,-0.9795263615815752,-0.6147547849700761,2,21.77241841125813,419.0,183.0,532.4884643554688,321.8156433105469,836.0,559.0
14,14,-1.0074067287175057,-0.6172200731911623,2,21.595411436397523,419.0,183.0,531.8412475585938,319.5661315917969,842.0,559.0
15,15,-0.9585651532737796,-0.5968684624568859,2,20.99650584195192,420.0,184.0,531.8661499023438,318.6412048339844,835.0,550.0
16,16,-0.962578004404311,-0.6398931614476611,2,18.90526866162743,419.0,183.0,531.7303466796875,319.66845703125,825.0,569.0
17,17,-0.8959331970734051,-0.650582024798803,2,21.968563242773264,419.0,183.0,531.63525390625,321.60186767578125,806.0,574.0
18,18,-0.9702343262221798,-0.651288561436001,2,22.297081494870024,419.0,180.0,531.8574829101562,323.7552490234375,824.0,574.0
19,19,-0.9297685255648074,-0.6283030843836361,2,22.125940970115792,418.0,179.0,531.0518798828125,322.5355224609375,819.0,563.0
20,20,-0.9381363108678908,-0.6558697311431554,2,21.95223615000131,418.0,179.0,531.485595703125,323.09197998046875,814.0,575.0
21,21,-1.0319629381807995,-0.6727536398220397,2,18.76562122500112,417.0,177.0,531.965576171875,325.3544921875,831.0,583.0
22,22,-1.0418147700013296,-0.6950586792158894,2,22.736066089181367,418.0,177.0,532.6693725585938,325.05108642578125,828.0,592.0
23,23,-1.0783675880690486,-0.7116222096156372,2,20.27252339339572,418.0,176.0,533.5482177734375,325.0136413574219,830.0,597.0
