,level_0,Unnamed: 0,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0,0,1.7778661562962637,-0.6523583532458859,0,21.244404374186423,882.0,309.0,964.6161499023438,429.8526306152344,425.0,758.0
1,1,1,1,1.7295036835326427,-0.7570418893747206,0,21.22279792746114,883.0,308.0,965.7998046875,426.9336853027344,465.0,807.0
2,2,2,2,1.7251227835394622,-0.7599876118564572,0,21.28364464877428,883.0,308.0,965.8324584960938,427.33001708984375,466.0,808.0
3,3,3,3,1.6995873297433466,-0.8161094707721331,0,21.450071085927032,885.0,306.0,967.8475952148438,425.8520202636719,491.0,831.0
4,4,4,4,1.794770837631651,-0.864942257784262,0,21.129356291497487,886.0,305.0,969.319580078125,424.41748046875,522.0,851.0
5,5,5,5,1.7532676025716376,-0.953070519312728,0,21.41415049064156,885.0,304.0,970.132080078125,424.0945739746094,562.0,886.0
6,6,6,6,1.717890170651025,-0.92361236238898,0,21.6093190518143,885.0,304.0,970.046142578125,424.2803955078125,545.0,875.0
7,7,7,7,1.8108446127069329,-0.889813252888403,0,21.41360385151452,885.0,306.0,968.7303466796876,423.8782043457031,535.0,861.0
8,8,8,8,1.812416943014516,-0.8823404228696405,0,21.213030350540908,885.0,306.0,968.7634887695312,423.6539306640625,531.0,858.0
9,9,9,9,1.771902805983358,-0.9363072518312244,0,21.36571748764709,884.0,306.0,967.91259765625,425.03314208984375,553.0,880.0
10,10,10,10,1.9277920056555824,-0.9449257737509388,0,21.338977187162943,884.0,307.0,966.8575439453124,424.5849609375,574.0,884.0
11,11,11,11,1.849695339321227,-0.9241129035158606,0,21.426840357598977,881.0,306.0,964.0023803710938,423.7325439453125,551.0,875.0
12,12,12,12,1.7686819789610164,-0.9000973157538529,0,21.41404116058346,880.0,305.0,963.047607421875,424.2311096191406,531.0,865.0
13,13,13,13,1.8070517386824416,-0.8959582307876518,0,21.400929653497425,880.0,305.0,962.5241088867188,424.3658142089844,532.0,864.0
14,14,14,14,1.8078496217450293,-0.963623295132167,0,21.15738765050973,880.0,304.0,962.2984619140624,424.78509521484375,566.0,890.0
15,15,15,15,1.692810650033531,-0.8855013287674557,0,21.11372091033108,879.0,304.0,962.2714233398438,424.921142578125,518.0,860.0
16,16,16,16,1.7682484163355516,-0.898086096498625,0,21.41447848751423,878.0,303.0,961.1304321289062,424.9369201660156,528.0,864.0
17,17,17,17,1.7275798159611693,-0.8355604004257449,0,21.417540276252968,876.0,303.0,961.0140380859376,425.602783203125,494.0,839.0
18,18,18,18,1.6478650129484815,-0.92304058170294,0,21.424870254587063,875.0,302.0,959.7333374023438,426.08636474609375,532.0,874.0
19,19,19,19,1.726149698455797,-0.8918604248183469,0,21.39612612290913,872.0,302.0,956.0659790039062,425.1151123046875,517.0,861.0
20,20,20,20,1.7117899338580895,-0.877013568057264,0,21.21764467826791,872.0,302.0,955.7523193359376,424.8914184570313,508.0,855.0
21,21,21,21,1.6634711369363455,-0.9023412952883536,0,21.41699346405229,870.0,302.0,953.8524780273438,424.665283203125,516.0,865.0
22,22,22,22,1.6929033280394656,-0.8932817538921222,0,21.48545201213016,868.0,301.0,951.6061401367188,422.7114562988281,511.0,860.0
23,23,23,23,1.691032723689794,-0.8640040261322272,0,21.2287057704085,864.0,302.0,948.882080078125,423.6426696777344,493.0,849.0
24,24,24,24,1.6566891309043503,-0.8740822266454139,0,21.45369172143935,862.0,302.0,946.9378662109376,424.6456909179688,495.0,854.0
25,25,25,25,1.6979265824875729,-0.8468223760434719,0,21.290775173730083,858.0,300.0,944.8333129882812,425.2369079589844,481.0,841.0
26,26,26,26,1.6898167243360638,-0.8460857456859558,0,20.88984072277396,858.0,300.0,944.9193115234376,425.355224609375,480.0,841.0
