yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
42.0,42.0,4.0,22.42643496858709,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.483568779931243,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.593130460982223,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,32.16194828696746,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.952219886034676,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,32.041068263765816,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.047989873492682,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.92279414562863,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.986090033478483,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.738242794336866,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,32.05698606684551,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.61742224366416,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,32.18811106165487,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.641751410724524,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.964882331423,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.9595239183773,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.276968277878034,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.97644808460669,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.185807545318006,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.02135244476987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.194157283315235,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.815319849240694,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.612005984746197,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.20413644310531,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.87134193016546,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.893625797327754,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.986975184142675,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.659444602823037,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.603071759512606,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.909562551585896,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.034665443325515,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.08664942226307,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.899087975718643,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.329299810275028,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.696018735362998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-2.22226411897226,-0.916113966023753,1.0,23.363212013858718,511.3656311035156,227.07383728027344,616.2255859375,344.010498046875,821.0,707.0
-1.2871235980145994,-0.8829153993489887,1.0,23.433305957349333,489.5226745605469,216.99993896484375,607.56640625,342.3831787109375,872.0,690.0
-0.8109232308653127,-0.8654972605554345,1.0,23.47317346167837,484.4974670410156,209.55296325683594,606.6192016601562,335.55517578125,795.0,677.0
-1.1351865294000527,-0.9371088633193382,1.0,23.499607807982787,481.5826416015625,196.1147918701172,604.69287109375,327.8600769042969,828.0,690.0
-1.1321838152709884,-0.8723298666481418,1.0,23.875632567326793,482.47747802734375,194.00344848632812,604.8489379882812,324.23248291015625,853.0,666.0
-1.0642889201243992,-0.8463262291323901,0.0,23.25466279301856,480.0801086425781,190.4784393310547,605.0383911132812,324.6355285644531,850.0,655.0
1.2349919533601894,-0.8461272909989612,2.0,23.066411491673815,475.13079833984375,184.8206787109375,601.7505493164062,324.7672424316406,205.0,652.0
1.2379105115988072,-0.9648922913915898,2.0,23.40976396586463,473.8533630371094,175.0556640625,601.0725708007812,322.7801513671875,251.0,685.0
1.134189175571818,-0.9363213665850018,2.0,23.19435058866468,470.8031921386719,172.33831787109375,598.6443481445312,320.5275573730469,248.0,674.0
0.9278165616438337,-0.928079016169261,2.0,23.225432053646085,466.514892578125,167.66879272460938,594.7008056640625,314.62664794921875,275.0,666.0
0.8022932573529109,-0.9578088155241972,2.0,23.0782148418371,464.0766296386719,163.4708709716797,589.4847412109375,314.68157958984375,306.0,673.0
0.9103648670205444,-0.9531277772761648,2.0,23.24306471455329,462.009765625,163.56300354003906,589.465087890625,313.9034118652344,282.0,672.0
1.0290294662400772,-0.9911523913203161,2.0,23.940911218420723,459.55438232421875,163.6379852294922,587.144775390625,314.3537292480469,273.0,683.0
1.126558686416523,-1.038329491082743,2.0,24.234865862748382,457.96337890625,162.90380859375,586.0684814453125,313.33941650390625,277.0,695.0
0.9871342138676046,-1.0943608025213558,2.0,24.27722886893909,457.35687255859375,161.6359405517578,584.206787109375,314.7102966308594,316.0,710.0
1.2328276023422817,-1.0666246455584532,2.0,24.438628179879505,452.7666015625,159.03717041015625,581.5443115234375,314.4328918457031,274.0,702.0
0.8590401601764285,-1.0370566332397395,2.0,24.292836623111853,449.524169921875,156.23190307617188,578.8612060546875,312.7840881347656,308.0,692.0
-0.9653100082085687,-1.0904214546369106,1.0,24.223948436877336,446.10150146484375,154.0017547607422,575.3724365234375,309.95892333984375,712.0,703.0
-0.8234858943594345,-1.049439000728063,1.0,24.204377708656736,445.0124816894531,153.56829833984375,573.2909545898438,308.11395263671875,703.0,691.0
-0.47506319736382274,-0.9870489927127221,1.0,24.333143818529905,442.55706787109375,151.760009765625,571.5460815429688,306.4486389160156,640.0,672.0
-0.18278366457260742,-0.32463081476517086,1.0,24.32834504999884,441.9549255371094,151.45367431640625,570.3493041992188,309.0057678222656,597.0,400.0
0.0533116913334242,-0.24925749696153027,1.0,24.346703507203642,440.7752380371094,149.2448272705078,569.4453125,310.6672668457031,477.0,360.0
0.045939528803866855,-0.17433185653713196,2.0,24.47599262388833,439.42730712890625,149.17189025878906,566.9454956054688,309.4689025878906,478.0,321.0
0.09955375523712406,-0.20861952293968414,2.0,24.569905511718773,437.2879943847656,146.87838745117188,565.7606811523438,307.4064025878906,449.0,336.0
0.09218745166196489,-0.2041275691290475,2.0,24.574368108367803,436.6068420410156,147.3874053955078,565.513916015625,307.05718994140625,452.0,335.0
0.09882138593735226,-0.20646262877282895,2.0,23.86381429221666,434.75335693359375,146.6544647216797,563.1063232421875,306.3657531738281,447.0,335.0
0.12477655392126452,-0.19904173039532316,2.0,24.306633132048354,435.2081298828125,146.3728790283203,563.20947265625,304.1300964355469,434.0,330.0
