yaw,pitch,class
-1.5832808265110248,-0.5031731289857181,3.0
-1.6117596059438961,-0.46583640945113425,3.0
-1.6312924278010277,-0.47574629818342806,3.0
-1.5635357507150136,-0.49094229536342027,3.0
-1.5486890271119853,-0.5080837317197152,3.0
-1.5801807738441178,-0.5339416943238396,3.0
-1.5262986334051987,-0.505288211523459,3.0
-1.5409717189051535,-0.5448398821366618,3.0
-1.5352202230569638,-0.5465208694167198,3.0
-1.543528753025793,-0.5388054254226513,3.0
-1.5473851434422825,-0.552106317170943,3.0
-1.57002361060461,-0.5727908230414794,3.0
-1.5989769653437338,-0.519168074492734,3.0
-1.5559337573833822,-0.5278712849351129,3.0
-1.5754226370825275,-0.5057444110181896,3.0
-1.5910367505536622,-0.5087697620165197,3.0
-1.6358542895902786,-0.3756133054092118,3.0
-1.5716081914532074,-0.561849758335107,3.0
-1.624020133812348,-0.48003372122234667,3.0
-1.5421505671616773,-0.497152520709376,3.0
-1.6083426371072698,-0.49724892714083685,3.0
-1.5929877823682543,-0.4536931938286999,3.0
-1.6405498420662519,-0.4805865934646471,3.0
-1.5662738797897784,-0.5297048713456326,3.0
-1.598439406277701,-0.5867124976398688,3.0
-1.6391478209103796,-0.6131648777992987,3.0
-1.6404940488414148,-0.6032110469090186,3.0
-1.6162732645174167,-0.5915472002827986,3.0
-1.588285039357338,-0.5831454596758167,3.0
-1.5492553483177904,-0.5801217065741406,3.0
-1.578559840846641,-0.5178141233945378,3.0
-1.6005820525327243,-0.5265823149675146,3.0
-1.5743733516130365,-0.5221284443604661,3.0
-1.626640684324986,-0.5544490999818857,3.0
-1.6224965393527138,-0.5572286412116014,3.0
-1.5570783840198983,-0.5288585187512054,3.0
-1.6260084498822014,-0.5605112535712331,3.0
-1.6930776319328114,-0.5668975138652431,3.0
-1.6265437452613072,-0.5566840247686802,3.0
-1.615909210396403,-0.5505020289302793,3.0
-1.6527295429956201,-0.5995731688599704,3.0
-1.6356127408794086,-0.6043106661231122,3.0
-1.5867171032655538,-0.5780950409845903,3.0
-1.6343523998935288,-0.5847766458434901,3.0
-1.6133591004945973,-0.585007808226109,3.0
-1.5506609647411347,-0.5367388124167498,3.0
-1.5456016244602564,-0.542055014584766,3.0
-1.562705110771018,-0.5577895029371721,3.0
-1.6249290706923922,-0.5541843817695319,3.0
-1.615794028679257,-0.5531185847012822,3.0
-1.6105441392223838,-0.551867165305054,3.0
-1.6284815944285034,-0.5636476583870195,3.0
-1.5772411766328882,-0.5680112478331143,3.0
-1.542593051376794,-0.5460116730162967,3.0
-1.5877334986955824,-0.5179052035038184,3.0
-1.578577018235672,-0.520140128290613,3.0
-1.5659999736716637,-0.5169592486846223,3.0
-1.559867645787593,-0.5185864401106607,3.0
-1.5372407633760072,-0.5178809687378988,3.0
-1.5485101958447864,-0.526629452918809,3.0
-1.5696208074897355,-0.5767030066828059,3.0
-1.6044449676938841,-0.5690570711931884,3.0
-1.5955116601333224,-0.5761488028599604,3.0
