yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
42.0,42.0,4.0,23.751112721836527,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.805389993478624,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.587420171104952,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.040407329563955,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.489477991246048,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.348735005045032,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.41306610945095,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.429778943424502,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.32251487972996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.821557276927628,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.343112711946734,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.59122680163895,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.582425360490944,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.548217737628715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.212263729721684,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.194157283315235,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.517123711265196,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.26739310842504,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.463927484547614,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.401438056304542,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.682096823748008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.471452338227493,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.829589556627074,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.291875807977583,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.552462060586355,-0.7607117253568497,0.0,23.27828128382016,435.34637451171875,20.696731567382812,508.7783203125,91.68878173828125,86.0,422.0
1.3119594393923513,-0.9658813894204453,0.0,23.235339087273008,428.1367492675781,22.03207015991211,500.108642578125,91.86189270019531,172.0,494.0
1.4628104709143637,-0.886685636504214,0.0,22.70775494293696,426.4071044921875,21.5081787109375,494.4682312011719,91.03655242919922,126.0,468.0
1.4614469324362431,-0.8688115645320381,0.0,23.011362202434835,426.25689697265625,21.51053237915039,494.42071533203125,91.26201629638672,119.0,462.0
1.3967731306281048,-0.762463819038013,0.0,23.215790464171455,421.22052001953125,22.613262176513672,489.3038024902344,91.53902435302734,76.0,423.0
0.7295812364265866,-0.8164684648870758,0.0,23.27879807078595,415.3125305175781,22.28066062927246,484.4215087890625,95.5623550415039,206.0,446.0
1.4862058084584917,-1.036927603084925,0.0,23.251053261785444,412.0946350097656,23.683940887451172,479.2143859863281,95.6710205078125,175.0,517.0
-2.509943307296472,-0.7475727538028348,2.0,23.243708748732328,404.314208984375,24.048107147216797,473.6740417480469,93.76070404052734,668.0,420.0
-2.409192727465467,-0.7574837077995646,2.0,23.049299064136594,399.7414245605469,25.501354217529297,469.80511474609375,96.34833526611328,692.0,426.0
-2.4363045063108006,-0.7595740229391679,2.0,23.057788723722403,399.7486877441406,25.540237426757812,469.71502685546875,96.40188598632812,684.0,426.0
-1.8374341456625018,-0.8884087017294952,1.0,23.479612172238518,395.36572265625,25.494091033935547,464.6087951660156,97.83942413330078,753.0,474.0
1.1402289586080088,-1.1168650463647436,0.0,23.954173972141156,393.7674560546875,25.966236114501953,462.65625,98.76619720458984,215.0,539.0
-2.15436003591991,-1.1146996300824001,1.0,23.78397504961724,392.127197265625,29.25078773498535,460.9286193847656,98.031494140625,622.0,541.0
-1.6006193367879853,-1.1828636376571418,1.0,23.66054041857054,389.4740295410156,28.497940063476562,463.74444580078125,96.43075561523438,627.0,554.0
-1.6686167636365428,-1.1729698610494428,1.0,23.72572023328035,387.0445861816406,32.92873764038086,463.14947509765625,97.74079895019531,630.0,554.0
-1.7200113784592734,-1.188573854508435,1.0,23.50527064968253,386.96160888671875,33.22290802001953,463.4613342285156,97.87503814697266,620.0,559.0
42.0,42.0,4.0,31.3646757947161,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.459718128154933,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.24411701168776,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.526401635586023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.762036742544716,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.309421258108582,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.302644934025913,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.314330083170326,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.34615787034961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.426482047593357,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-2.2267528769895883,-0.49588831813991535,3.0,24.084432960091874,427.31744384765625,43.363372802734375,497.39166259765625,105.63969421386719,833.0,327.0
-2.260039993770598,-0.49877172265214414,3.0,23.381054579712245,427.30963134765625,43.478328704833984,497.09112548828125,105.57943725585938,823.0,328.0
42.0,42.0,4.0,31.1705112960761,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.543946994367023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.444623539025542,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.90655058575228,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.39262630068694,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.75386228488888,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
