,frames,rate,width,height
count,90.0,90.0,90.0,90.0
mean,3080.688888888889,26.27777777777778,1015.0666666666667,692.0
std,933.793334742751,2.193082986065572,143.2967220902061,166.86938981858526
min,1809.0,25.0,852.0,480.0
25%,2433.25,25.0,852.0,480.0
50%,2870.0,25.0,1064.0,780.0
75%,3658.0,28.75,1064.0,840.0
max,8630.0,30.0,1280.0,840.0
